"Название мероприятия","Описание","Дата начала","Время начала","Уровень доступа"
"Фестиваль науки","Мероприятие, посвященное достижениям в области науки и технологий, с интерактивными выставками и лекциями.",2025-04-01,"09:00:00","user, teacher"
"Праздник науки","Яркое мероприятие с экспериментами и лекциями для всех желающих узнать больше о науке.",2025-11-01,"12:00:00","user, staff"
"Открытый урок по языкам","Занятие, на котором участники смогут попробовать изучить новый язык в интерактивной форме.",2025-03-15,"10:00:00","staff, superuser"
"Открытый урок по математике","Урок, посвященный интересным аспектам математики с практическими заданиями для всех уровней.",2025-09-01,"13:00:00","staff"
"Открытая лекция по философии","Лекция на тему философских вопросов, открытая для всех желающих обсудить глубокие идеи.",2025-06-15,"09:00:00","user"
"Открытая лекция по искусству","Мероприятие, где обсуждаются различные направления искусства и их влияние на общество.",2025-06-05,"10:00:00","teacher, staff"
"Новогодний бал","Праздничное мероприятие с танцами и развлечениями, посвященное встрече Нового года.",2025-12-10,"14:00:00","user, pdo"
"Мастер-класс по фотографии","Практическое занятие для всех желающих научиться делать красивые фотографии.",2025-02-05,"14:00:00","user, staff"
"Мастер-класс по программированию","Уроки по основам программирования с практическими заданиями для новичков.",2025-09-20,"15:00:00","pdo"
"Мастер-класс по ораторскому мастерству","Занятие, на котором участники научатся уверенно выступать перед аудиторией.",2025-08-01,"10:00:00","user, staff"
"Мастер-класс по дизайну","Практическое занятие, посвященное основам дизайна и созданию визуальных проектов.",2025-09-10,"11:00:00","user, teacher"
"Фестиваль культуры","Праздник, на котором представлены различные культурные традиции, музыка и искусство со всего мира.",2025-03-01,"09:30:00","teacher"
"Летний фестиваль","Праздничное мероприятие с музыкой, танцами и развлекательными программами на свежем воздухе.",2025-11-10,"18:00:00","teacher"
"Курс по программированию","Обучение основам программирования с акцентом на практические навыки.",2025-05-01,"18:00:00","teacher, superuser"
"Круглый стол по экологии","Обсуждение актуальных экологических проблем с участием экспертов и активистов.",2025-12-25,"19:00:00","user, staff"
"Конференция по экологии","Научное мероприятие, посвященное вопросам охраны окружающей среды и устойчивого развития.",2025-05-20,"12:00:00","user"
"Конференция по технологиям","Событие, где обсуждаются новейшие технологии и их влияние на различные отрасли.",2025-12-01,"11:00:00","teacher"
"Конференция по образованию","Обсуждение современных методов обучения и образовательных технологий.",2025-10-01,"10:00:00","user"
"Конференция по инновациям","Мероприятие, посвященное новым идеям и стартапам в различных сферах бизнеса.",2025-02-12,"11:00:00","teacher, superuser"
"Конкурс стартапов","Соревнование для начинающих предпринимателей, где они представляют свои идеи и проекты.",2025-07-01,"16:00:00","user, teacher"
"Конкурс научных проектов","Соревнование для студентов и исследователей, на котором они демонстрируют свои научные работы.",2025-07-10,"10:00:00","teacher"
"Выставка искусств","Показ произведений искусства от местных художников и мастеров в различных жанрах.",2025-04-10,"15:00:00","pdo"
"Тренинг по лидерству","Практическое занятие, направленное на развитие лидерских качеств и навыков управления командой.",2025-11-20,"09:00:00","user"
"Воркшоп по программированию","Практическое занятие для освоения конкретных языков программирования или технологий.",2025-01-15,"09:00:00","user, teacher"
"Воркшоп по личной эффективности","Занятие, направленное на развитие навыков управления временем и повышению продуктивности.",2025-05-15,"09:00:00","user, teacher"
"Воркшоп по креативному мышлению","Упражнения и задания для развития креативности и нестандартного мышления.",2025-08-20,"09:00:00","superuser"
"Вебинар по финансовой грамотности","Онлайн-мероприятие, посвященное основам управления личными финансами и инвестициями.",2025-03-10,"13:00:00","user, staff"
"Вебинар по социальным медиа","Обсуждение стратегий использования социальных медиа для бизнеса и продвижения идей.",2025-10-10,"14:00:00","teacher, superuser"
"Вебинар по маркетингу","Онлайн-лекция о современных методах маркетинга и продвижения товаров и услуг.",2025-07-20,"11:00:00","user"
"Тренинг по командообразованию","Упражнения и игры, способствующие улучшению взаимодействия и сплоченности в команде.",2025-01-20,"10:00:00","teacher"
"Спортивные соревнования","Конкурсы по различным видам спорта, где участники могут продемонстрировать свои навыки и побороться за призы.",2025-04-20,"14:00:00","user, staff"
"Симпозиум по биотехнологиям","Научная конференция, посвященная последним достижениям и исследованиям в области биотехнологий.",2025-08-10,"14:00:00","teacher"
"Семинар по саморазвитию","Мероприятие, на котором участники узнают о методах личностного роста и развития.",2025-06-20,"17:00:00","user, pdo"
"Семинар по психологии","Обсуждение актуальных тем в психологии с экспертами и практическими занятиями.",2025-10-20,"17:00:00","user"
"Семинар по правам человека","Встреча, посвященная вопросам защиты прав человека и обсуждению актуальных проблем.",2025-02-25,"16:00:00","user"
